fips,stateabb,subcat,subgroup,gradecenter,gap,tot_asmts_mth,tot_asmts_rla,cellcount_mth,cellcount_rla,mn_asmts_mth,mn_asmts_rla,gcs_mn_avg_mth_ol,gcs_mn_grd_mth_ol,gcs_mn_coh_mth_ol,gcs_mn_avg_rla_ol,gcs_mn_grd_rla_ol,gcs_mn_coh_rla_ol,gcs_mn_avg_mth_ol_se,gcs_mn_grd_mth_ol_se,gcs_mn_coh_mth_ol_se,gcs_mn_avg_rla_ol_se,gcs_mn_grd_rla_ol_se,gcs_mn_coh_rla_ol_se,gcs_mn_avg_mth_eb,gcs_mn_grd_mth_eb,gcs_mn_coh_mth_eb,gcs_mn_avg_rla_eb,gcs_mn_grd_rla_eb,gcs_mn_coh_rla_eb,gcs_mn_avg_mth_eb_se,gcs_mn_grd_mth_eb_se,gcs_mn_coh_mth_eb_se,gcs_mn_avg_rla_eb_se,gcs_mn_grd_rla_eb_se,gcs_mn_coh_rla_eb_se
16,ID,race,wbg,5.5,1,910139,704196,54,42,16854.42592592593,16766.57142857143,2.293624544894585,0.2149843514323287,0.1034992994654593,2.04579528983569,0.0215616588580003,0.0839246568102071,0.0395469787416557,0.0266848398672909,0.0130231395468061,0.0489938980271767,0.0325577784229639,0.0166049194846556,2.287247051189657,0.2150967659894373,0.0996811284514782,2.049440177547535,0.0106221819246182,0.07912036833867,0.0384586249669621,0.0218502553862836,0.0115748285475172,0.0460141771730949,0.0228560946583732,0.0134995177542897
16,ID,race,whg,5.5,1,1096772,1095695,54,54,20310.59259259259,20290.64814814815,1.903752627720727,0.1712939604752884,0.049217610425415,2.060060029900598,-0.1160014201013342,-0.035257882866423,0.0184749708643995,0.0131785212050875,0.0061104031148531,0.0187353473868398,0.0129480353274536,0.0061147943970118,1.903323048712219,0.1622699611971773,0.0469656071404902,2.060234577167589,-0.1084684848279715,-0.0335219170224155,0.0183577927873805,0.0114654070854558,0.0058433422168811,0.0186409555402534,0.0118491373260666,0.0059531125410198
16,ID,race,wht,5.5,0,897511,897764,54,54,16620.57407407407,16625.25925925926,6.042794055979599,1.09960085765366,-0.0023806397062556,6.129827362404018,1.064804077475599,0.0305873367071651,0.0151173252422447,0.010594725200477,0.0049817915513076,0.0152244314506452,0.0104589432737257,0.0049854671120998,6.043678325223214,1.097325663427818,-0.0023677128093598,6.129827171816308,1.064031179826441,0.0304961616995292,0.0150703094377242,0.0102221106484064,0.0049093641837283,0.0151869072208044,0.0101424011087639,0.004803742304635
16,ID,race,wmg,5.5,1,721358,721697,42,42,17175.19047619048,17183.2619047619,0.5092597990225598,-0.0221976789975457,-0.021998976564932,0.4527063740988211,-0.0801985782873616,-0.0476939468058083,0.0348758858179416,0.0324856720844259,0.0127721715225214,0.0379927742256693,0.0327410079498046,0.0130862466396877,0.4965486695552778,-0.0044827920881866,-0.018100068928897,0.4524427480907416,-0.0663500865137735,-0.0439073332958295,0.0291072805876111,0.0107496438812632,0.0086467699880065,0.0331733597557203,0.0136239701326142,0.0103543395579682
16,ID,race,wng,5.5,1,913304,913505,54,54,16913.03703703704,16916.75925925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,IL,all,all,5.5,0,8864116,8836139,59,59,150239.2542372881,149765.0677966102,5.428662670564685,1.059529016338489,-0.0041554720212045,5.585370252478465,1.06200832205356,0.0233600363551175,0.0155537527258128,0.0112527292698994,0.005367823725444,0.0153492966548427,0.0110801923449946,0.0053317038226313,5.430431145080471,1.055834375600949,-0.0048712189742568,5.584382418427681,1.062365095153012,0.0239051643116213,0.0154958836832778,0.0107570506463962,0.0052624251773411,0.0153044102187574,0.0107161360434654,0.005130790807185
17,IL,race,asn,5.5,0,409324,401096,59,59,6937.694915254237,6798.237288135593,8.227392462651308,1.316753553950449,0.0937334212576836,7.81778544404881,1.130690865737709,0.1196125019493832,0.0256699101961658,0.0181371274127506,0.0088622986492602,0.0251699353668702,0.0177750292216296,0.0087483708332856,8.22753275382717,1.320023004409947,0.092757622731582,7.816555475745862,1.124824220740636,0.1189912535557864,0.0254983674988498,0.016607767856912,0.0085182016711045,0.0250563673875752,0.0164386959367197,0.0085198694080223
17,IL,race,blk,5.5,0,1537871,1536888,58,58,26515.01724137931,26498.06896551724,3.609949138518134,0.9449697495185194,-0.0378072950719984,3.910872244888858,1.058489685341993,0.0050128599597441,0.0221561070677065,0.0157302434497568,0.0076248727118002,0.021987579550427,0.0156282502511468,0.0076087474964367,3.613285759434744,0.9348200834294809,-0.0390418668990043,3.90948755167936,1.062917679268549,0.0056924810230562,0.0220131661193123,0.0146273755248341,0.0073782308422229,0.0218618039852952,0.0147593402065793,0.0072677697812784
17,IL,ecd,ecd,5.5,0,4521965,4503824,59,59,76643.47457627118,76336,4.195343845190498,1.000845484419652,-0.0107301656732052,4.296295194432031,1.11411439185923,0.0405162089667293,0.0219848916618774,0.0155608746958405,0.0076023116059069,0.0218521281761064,0.0154994083130595,0.0076019971882115,4.199873627489371,0.9888448331038746,-0.0119952534322652,4.29317252222434,1.116204734026595,0.0408101895077941,0.0218538758199588,0.0140842533655138,0.0073598484628074,0.0217252635777573,0.0147279933786904,0.0072114903111702
17,IL,gender,fem,5.5,0,4321173,4308266,59,59,73240.22033898305,73021.45762711864,5.504955943478977,1.111367728125747,0.0105920203438345,6.057830073133449,1.133706489137284,0.0653409250408688,0.0173627888436713,0.0124489232843292,0.0059965682132114,0.0172077999630639,0.0123407065159489,0.0059859802475381,5.506828478054524,1.107294764477178,0.0100525627038086,6.056672543040007,1.133303524225369,0.0649072492667786,0.0172794001140348,0.0116654297789288,0.0058668525191184,0.0171534450588469,0.0117098135899925,0.0058039441357483
